17:06:38: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
17:16:13: Dealer 1: Car 1 (Body: 3, Motor: 1, Accessory: 2)
17:16:13: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:16:14: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:16:15: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:16:16: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:16:17: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
17:16:18: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:16:19: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 31)
17:16:20: Dealer 1: Car 9 (Body: 23, Motor: 30, Accessory: 35)
17:16:21: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
17:16:22: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
17:16:23: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
17:44:43: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
17:44:44: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:44:45: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:44:46: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:44:47: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:44:47: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
17:44:48: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:44:49: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 31)
17:44:50: Dealer 1: Car 9 (Body: 23, Motor: 30, Accessory: 35)
17:44:51: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
17:44:52: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
17:44:53: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
17:45:08: Dealer 1: Car 1 (Body: 2, Motor: 1, Accessory: 3)
17:45:09: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:45:10: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:45:11: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:45:12: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:45:12: Dealer 2: Car 6 (Body: 13, Motor: 17, Accessory: 22)
17:45:13: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:45:14: Dealer 2: Car 8 (Body: 18, Motor: 24, Accessory: 30)
17:45:15: Dealer 1: Car 9 (Body: 23, Motor: 30, Accessory: 34)
17:45:16: Dealer 2: Car 10 (Body: 25, Motor: 32, Accessory: 38)
17:45:17: Dealer 1: Car 11 (Body: 27, Motor: 36, Accessory: 41)
17:45:18: Dealer 2: Car 12 (Body: 29, Motor: 39, Accessory: 46)
17:46:43: Dealer 1: Car 1 (Body: 3, Motor: 2, Accessory: 1)
17:46:44: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
17:46:45: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 10)
17:46:46: Dealer 2: Car 4 (Body: 9, Motor: 12, Accessory: 14)
17:46:47: Dealer 1: Car 5 (Body: 11, Motor: 15, Accessory: 19)
17:46:48: Dealer 2: Car 6 (Body: 13, Motor: 18, Accessory: 22)
17:46:49: Dealer 1: Car 7 (Body: 16, Motor: 21, Accessory: 26)
17:46:50: Dealer 2: Car 8 (Body: 17, Motor: 24, Accessory: 30)
17:46:51: Dealer 1: Car 9 (Body: 20, Motor: 28, Accessory: 35)
17:46:51: Dealer 2: Car 10 (Body: 25, Motor: 33, Accessory: 39)
17:46:52: Dealer 1: Car 11 (Body: 27, Motor: 37, Accessory: 42)
17:46:53: Dealer 2: Car 12 (Body: 29, Motor: 40, Accessory: 47)
18:02:11: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
18:02:12: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
18:02:14: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 9)
18:02:16: Dealer 2: Car 4 (Body: 10, Motor: 11, Accessory: 12)
18:02:18: Dealer 1: Car 5 (Body: 13, Motor: 14, Accessory: 16)
18:02:20: Dealer 2: Car 6 (Body: 15, Motor: 17, Accessory: 19)
18:02:22: Dealer 1: Car 7 (Body: 18, Motor: 20, Accessory: 22)
18:02:24: Dealer 2: Car 8 (Body: 21, Motor: 23, Accessory: 26)
18:02:26: Dealer 1: Car 9 (Body: 24, Motor: 28, Accessory: 30)
18:02:27: Dealer 2: Car 10 (Body: 27, Motor: 31, Accessory: 33)
18:02:29: Dealer 1: Car 11 (Body: 29, Motor: 34, Accessory: 36)
18:02:30: Dealer 2: Car 12 (Body: 32, Motor: 37, Accessory: 39)
18:02:32: Dealer 1: Car 13 (Body: 35, Motor: 41, Accessory: 44)
18:02:33: Dealer 2: Car 14 (Body: 38, Motor: 48, Accessory: 55)
18:02:34: Dealer 1: Car 15 (Body: 40, Motor: 59, Accessory: 56)
18:02:35: Dealer 2: Car 16 (Body: 42, Motor: 70, Accessory: 57)
18:02:37: Dealer 1: Car 17 (Body: 43, Motor: 73, Accessory: 58)
18:02:38: Dealer 2: Car 18 (Body: 45, Motor: 76, Accessory: 60)
18:02:40: Dealer 1: Car 19 (Body: 46, Motor: 79, Accessory: 62)
18:02:41: Dealer 2: Car 20 (Body: 47, Motor: 81, Accessory: 63)
18:02:43: Dealer 1: Car 21 (Body: 49, Motor: 85, Accessory: 64)
18:02:44: Dealer 2: Car 22 (Body: 50, Motor: 88, Accessory: 65)
18:02:46: Dealer 1: Car 23 (Body: 51, Motor: 91, Accessory: 66)
18:02:47: Dealer 2: Car 24 (Body: 52, Motor: 94, Accessory: 67)
18:02:49: Dealer 1: Car 25 (Body: 53, Motor: 97, Accessory: 68)
18:02:51: Dealer 2: Car 26 (Body: 54, Motor: 100, Accessory: 69)
18:02:52: Dealer 1: Car 27 (Body: 56, Motor: 103, Accessory: 71)
18:02:54: Dealer 2: Car 28 (Body: 61, Motor: 106, Accessory: 74)
18:02:55: Dealer 1: Car 29 (Body: 72, Motor: 109, Accessory: 77)
18:02:57: Dealer 2: Car 30 (Body: 75, Motor: 112, Accessory: 82)
18:02:58: Dealer 1: Car 31 (Body: 78, Motor: 115, Accessory: 84)
18:03:00: Dealer 2: Car 32 (Body: 80, Motor: 118, Accessory: 87)
18:03:01: Dealer 1: Car 33 (Body: 83, Motor: 121, Accessory: 90)
18:03:03: Dealer 2: Car 34 (Body: 86, Motor: 124, Accessory: 93)
18:03:04: Dealer 1: Car 35 (Body: 89, Motor: 127, Accessory: 96)
18:03:06: Dealer 2: Car 36 (Body: 92, Motor: 130, Accessory: 98)
18:03:08: Dealer 1: Car 37 (Body: 95, Motor: 133, Accessory: 102)
18:03:09: Dealer 2: Car 38 (Body: 99, Motor: 136, Accessory: 105)
18:03:11: Dealer 1: Car 39 (Body: 101, Motor: 139, Accessory: 107)
18:03:12: Dealer 2: Car 40 (Body: 104, Motor: 142, Accessory: 110)
18:03:14: Dealer 1: Car 41 (Body: 108, Motor: 145, Accessory: 113)
18:03:15: Dealer 2: Car 42 (Body: 111, Motor: 148, Accessory: 116)
18:03:17: Dealer 1: Car 43 (Body: 114, Motor: 151, Accessory: 119)
18:03:18: Dealer 2: Car 44 (Body: 117, Motor: 154, Accessory: 122)
18:03:20: Dealer 1: Car 45 (Body: 120, Motor: 157, Accessory: 125)
18:03:20: Dealer 2: Car 46 (Body: 123, Motor: 158, Accessory: 128)
18:03:22: Dealer 1: Car 47 (Body: 126, Motor: 159, Accessory: 131)
18:03:22: Dealer 2: Car 48 (Body: 129, Motor: 160, Accessory: 134)
18:03:24: Dealer 1: Car 49 (Body: 132, Motor: 161, Accessory: 137)
18:03:24: Dealer 2: Car 50 (Body: 135, Motor: 162, Accessory: 140)
18:03:26: Dealer 1: Car 51 (Body: 138, Motor: 164, Accessory: 143)
18:03:26: Dealer 2: Car 52 (Body: 25, Motor: 165, Accessory: 146)
18:03:28: Dealer 1: Car 53 (Body: 141, Motor: 166, Accessory: 149)
18:03:28: Dealer 2: Car 54 (Body: 147, Motor: 167, Accessory: 153)
18:03:30: Dealer 1: Car 55 (Body: 144, Motor: 168, Accessory: 156)
18:03:30: Dealer 2: Car 56 (Body: 152, Motor: 169, Accessory: 170)
18:03:32: Dealer 1: Car 57 (Body: 155, Motor: 172, Accessory: 184)
18:03:32: Dealer 2: Car 58 (Body: 150, Motor: 174, Accessory: 199)
18:03:34: Dealer 1: Car 59 (Body: 171, Motor: 175, Accessory: 202)
18:03:34: Dealer 2: Car 60 (Body: 178, Motor: 176, Accessory: 203)
18:03:36: Dealer 1: Car 61 (Body: 186, Motor: 177, Accessory: 205)
18:03:36: Dealer 2: Car 63 (Body: 163, Motor: 173, Accessory: 208)
18:03:38: Dealer 1: Car 64 (Body: 190, Motor: 180, Accessory: 209)
18:03:38: Dealer 2: Car 62 (Body: 188, Motor: 179, Accessory: 207)
18:46:16: Dealer 1: Car 1 (Body: 2, Motor: 3, Accessory: 1)
18:58:09: Dealer 1: Car 1 (Body: 2, Motor: 1, Accessory: 3)
19:02:06: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
19:03:12: Dealer 1: Car 1 (Body: 1, Motor: 3, Accessory: 2)
19:04:17: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
19:05:58: Dealer 1: Car 1 (Body: 3, Motor: 1, Accessory: 2)
19:11:37: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
19:16:52: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
19:21:01: Dealer 1: Car 1 (Body: 2, Motor: 1, Accessory: 3)
19:41:39: Dealer 1: Car 1 (Body: 1, Motor: 2, Accessory: 3)
19:41:41: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
19:41:43: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 9)
19:41:45: Dealer 2: Car 4 (Body: 10, Motor: 11, Accessory: 12)
19:41:47: Dealer 1: Car 5 (Body: 13, Motor: 14, Accessory: 16)
19:41:49: Dealer 2: Car 6 (Body: 15, Motor: 17, Accessory: 19)
19:41:50: Dealer 1: Car 7 (Body: 18, Motor: 20, Accessory: 22)
19:41:52: Dealer 2: Car 8 (Body: 21, Motor: 23, Accessory: 25)
19:41:54: Dealer 1: Car 9 (Body: 24, Motor: 27, Accessory: 29)
19:41:56: Dealer 2: Car 10 (Body: 26, Motor: 30, Accessory: 34)
19:41:58: Dealer 1: Car 11 (Body: 28, Motor: 32, Accessory: 41)
19:41:59: Dealer 2: Car 12 (Body: 33, Motor: 37, Accessory: 46)
19:42:00: Dealer 1: Car 13 (Body: 36, Motor: 39, Accessory: 49)
19:42:01: Dealer 2: Car 14 (Body: 38, Motor: 42, Accessory: 51)
19:42:02: Dealer 1: Car 15 (Body: 40, Motor: 44, Accessory: 53)
19:42:03: Dealer 2: Car 16 (Body: 31, Motor: 35, Accessory: 56)
19:42:04: Dealer 1: Car 17 (Body: 45, Motor: 50, Accessory: 59)
19:42:05: Dealer 2: Car 18 (Body: 43, Motor: 47, Accessory: 62)
19:42:06: Dealer 1: Car 19 (Body: 50, Motor: 54, Accessory: 65)
19:42:07: Dealer 2: Car 20 (Body: 52, Motor: 57, Accessory: 68)
19:42:08: Dealer 1: Car 21 (Body: 48, Motor: 52, Accessory: 71)
19:42:09: Dealer 2: Car 22 (Body: 55, Motor: 60, Accessory: 73)
19:42:10: Dealer 1: Car 23 (Body: 60, Motor: 63, Accessory: 76)
19:42:11: Dealer 2: Car 24 (Body: 61, Motor: 66, Accessory: 80)
19:42:12: Dealer 1: Car 25 (Body: 58, Motor: 61, Accessory: 82)
19:42:13: Dealer 2: Car 26 (Body: 67, Motor: 72, Accessory: 84)
19:42:14: Dealer 1: Car 27 (Body: 64, Motor: 69, Accessory: 86)
19:42:15: Dealer 2: Car 28 (Body: 70, Motor: 75, Accessory: 88)
19:42:16: Dealer 1: Car 29 (Body: 74, Motor: 79, Accessory: 90)
19:42:17: Dealer 2: Car 30 (Body: 72, Motor: 77, Accessory: 93)
19:42:18: Dealer 1: Car 31 (Body: 77, Motor: 81, Accessory: 95)
19:46:44: Dealer 1: Car 1 (Body: 1, Motor: 3, Accessory: 2)
19:46:46: Dealer 2: Car 2 (Body: 4, Motor: 5, Accessory: 6)
19:46:48: Dealer 1: Car 3 (Body: 7, Motor: 8, Accessory: 9)
19:46:50: Dealer 2: Car 4 (Body: 10, Motor: 11, Accessory: 12)
19:46:52: Dealer 1: Car 5 (Body: 13, Motor: 14, Accessory: 16)
19:46:54: Dealer 2: Car 6 (Body: 15, Motor: 17, Accessory: 19)
19:46:55: Dealer 1: Car 7 (Body: 18, Motor: 20, Accessory: 22)
19:46:57: Dealer 2: Car 8 (Body: 21, Motor: 23, Accessory: 25)
19:46:59: Dealer 1: Car 9 (Body: 24, Motor: 27, Accessory: 29)
19:47:01: Dealer 2: Car 10 (Body: 26, Motor: 30, Accessory: 33)
19:47:03: Dealer 1: Car 11 (Body: 28, Motor: 32, Accessory: 36)
19:47:05: Dealer 2: Car 12 (Body: 31, Motor: 35, Accessory: 42)
19:47:05: Dealer 1: Car 13 (Body: 38, Motor: 39, Accessory: 45)
19:47:07: Dealer 2: Car 14 (Body: 43, Motor: 40, Accessory: 48)
19:47:07: Dealer 1: Car 15 (Body: 46, Motor: 41, Accessory: 50)
19:47:09: Dealer 2: Car 16 (Body: 49, Motor: 44, Accessory: 53)
19:47:09: Dealer 1: Car 17 (Body: 52, Motor: 47, Accessory: 56)
19:47:14: Dealer 2: Car 18 (Body: 55, Motor: 51, Accessory: 59)
19:47:15: Dealer 1: Car 19 (Body: 58, Motor: 54, Accessory: 62)
19:47:19: Dealer 2: Car 20 (Body: 61, Motor: 57, Accessory: 65)
19:47:20: Dealer 1: Car 21 (Body: 64, Motor: 60, Accessory: 68)
19:47:24: Dealer 2: Car 22 (Body: 67, Motor: 63, Accessory: 71)
19:47:25: Dealer 1: Car 23 (Body: 70, Motor: 66, Accessory: 74)
19:47:29: Dealer 2: Car 24 (Body: 73, Motor: 69, Accessory: 77)
19:47:30: Dealer 1: Car 25 (Body: 76, Motor: 72, Accessory: 80)
19:47:34: Dealer 2: Car 26 (Body: 79, Motor: 75, Accessory: 83)
19:47:35: Dealer 1: Car 27 (Body: 82, Motor: 78, Accessory: 86)
19:47:39: Dealer 2: Car 28 (Body: 85, Motor: 81, Accessory: 89)
19:47:40: Dealer 1: Car 29 (Body: 88, Motor: 84, Accessory: 92)
19:47:44: Dealer 2: Car 30 (Body: 34, Motor: 37, Accessory: 95)
19:47:45: Dealer 1: Car 32 (Body: 94, Motor: 90, Accessory: 101)
19:47:49: Dealer 2: Car 33 (Body: 97, Motor: 93, Accessory: 104)
19:47:50: Dealer 1: Car 34 (Body: 100, Motor: 96, Accessory: 107)
19:47:54: Dealer 2: Car 35 (Body: 103, Motor: 99, Accessory: 110)
19:47:55: Dealer 2: Car 36 (Body: 106, Motor: 102, Accessory: 113)
19:47:55: Dealer 1: Car 31 (Body: 91, Motor: 87, Accessory: 98)
19:47:55: Dealer 2: Car 37 (Body: 109, Motor: 105, Accessory: 116)
19:47:55: Dealer 1: Car 39 (Body: 115, Motor: 111, Accessory: 122)
19:47:56: Dealer 2: Car 40 (Body: 118, Motor: 114, Accessory: 125)
19:47:56: Dealer 1: Car 41 (Body: 121, Motor: 117, Accessory: 127)
19:47:56: Dealer 2: Car 42 (Body: 124, Motor: 120, Accessory: 129)
19:47:56: Dealer 1: Car 38 (Body: 112, Motor: 108, Accessory: 119)
